date,Close,Volume
12/2/2011,97.2,3232000
12/5/2011,96.06,4182900
12/6/2011,95.37,3533800
12/7/2011,97.07,4013800
12/8/2011,95.8,3559500
12/9/2011,97.19,2993500
12/12/2011,96.92,3411100
12/13/2011,95.91,3391000
12/14/2011,96.36,4787700
12/15/2011,95.82,5255000
12/16/2011,97.44,4389200
12/19/2011,98.58,5885300
12/20/2011,101.35,6863600
12/21/2011,100.72,3811000
12/22/2011,100.54,3359800
12/23/2011,102.48,1950800
12/27/2011,101.91,2179800
12/28/2011,100.72,2492400
12/29/2011,103.15,2159400
12/30/2011,101.53,2146700
1/3/2012,102.99,4207300
1/4/2012,101.15,4130500
1/5/2012,101.91,3024100
1/6/2012,100.71,3272300
1/9/2012,99.9,4500600
1/10/2012,99.8,4677900
1/11/2012,99.11,4754000
1/12/2012,101.34,4177200
1/13/2012,100.74,4155800
1/17/2012,102.53,4254700
1/18/2012,103.78,2938100
1/19/2012,102.37,3641900
1/20/2012,100.58,5008200
1/23/2012,99.6,4041600
1/24/2012,101.01,3035200
1/25/2012,100.56,3772100
1/26/2012,100.86,3484800
1/27/2012,101.05,2840700
1/30/2012,99.88,3119000
1/31/2012,100.64,3310100
2/1/2012,102.51,3844200
2/2/2012,106.06,8435100
2/3/2012,107.03,4133300
2/6/2012,107.36,3337400
2/7/2012,106.98,3261400
2/8/2012,108.35,5685500
2/9/2012,112.42,9900300
2/10/2012,113.9,5472200
2/13/2012,112.71,5519600
2/14/2012,115.24,4490200
2/15/2012,115.1,5425300
2/16/2012,113.8,3992900
2/17/2012,115.01,3878200
2/21/2012,114.2,2704900
2/22/2012,116.36,3595300
2/23/2012,116.48,2722700
2/24/2012,117.54,2773500
2/27/2012,116.86,3953200
2/28/2012,118.95,2984300
2/29/2012,116.37,3804400
3/1/2012,117.18,2793500
3/2/2012,116.16,3053400
3/5/2012,116.24,2538400
3/6/2012,114.84,3325500
3/7/2012,115.64,2673500
3/8/2012,117.97,2380100
3/9/2012,117.17,2114400
3/12/2012,116.53,1927300
3/13/2012,117.27,3196400
3/14/2012,116.75,3749000
3/15/2012,117,3323300
3/16/2012,116.68,4001600
3/19/2012,118.84,3979600
3/20/2012,116.52,2647000
3/21/2012,116.75,2106800
3/22/2012,117.28,2342000
3/23/2012,118.78,2537800
3/26/2012,120.06,4090900
3/27/2012,119.81,2665500
3/28/2012,119.35,2248000
3/29/2012,119,2172800
3/30/2012,118,3000500
4/2/2012,118.98,2944400
4/3/2012,120.36,3922900
4/4/2012,118.98,2577200
4/5/2012,121.01,3348900
4/9/2012,119.5,3323900
4/10/2012,116.74,2669800
4/11/2012,117.38,3542800
4/12/2012,121.02,4291000
4/13/2012,123.16,5374300
4/16/2012,120.83,4577100
4/17/2012,122.08,2582200
4/18/2012,121.78,2120000
4/19/2012,121.19,2130600
4/20/2012,121.01,1960300
4/23/2012,118.1,4336800
4/24/2012,118.93,2357700
4/25/2012,121.79,3037700
4/26/2012,123.19,2776900
4/27/2012,123.52,2446800
4/30/2012,122.98,2343800
5/1/2012,123.09,4294500
5/2/2012,122.19,6341700
5/3/2012,116.41,11959500
5/4/2012,117.79,5850900
5/7/2012,118.51,3369200
5/8/2012,118.14,3649200
5/9/2012,117.42,4418200
5/10/2012,118.17,3367000
5/11/2012,117.92,2034900
5/14/2012,116.72,4061600
5/15/2012,116.61,3147300
5/16/2012,117.53,4334900
5/17/2012,115.01,4453700
5/18/2012,112.64,6483700
5/21/2012,116.22,3318000
5/22/2012,118.39,4648600
5/23/2012,119.17,4139500
5/24/2012,119.77,3187400
5/25/2012,119.37,2945000
5/29/2012,120.28,4501600
5/30/2012,117.49,4586600
5/31/2012,115.2,5251000
6/1/2012,112.25,4662600
6/4/2012,114.16,4161600
6/5/2012,113.81,2843700
6/6/2012,116.34,3096000
6/7/2012,116.81,2289500
6/8/2012,116.58,2594200
6/11/2012,116.35,2735700
6/12/2012,117.16,2599700
6/13/2012,114.9,3722800
6/14/2012,116.49,3288200
6/15/2012,118.4,3137900
6/18/2012,120.1,2732900
6/19/2012,121.35,2567600
6/20/2012,122.59,3175700
6/21/2012,119.48,3265300
6/22/2012,124.95,9304000
6/25/2012,121.27,4041000
6/26/2012,123.16,3282200
6/27/2012,123.44,3442100
6/28/2012,121.52,2878700
6/29/2012,123.63,3982800
7/2/2012,126.62,4260600
7/3/2012,126.34,1591100
7/5/2012,127.01,2824500
7/6/2012,125.28,2407800
7/9/2012,123.65,4421000
7/10/2012,122.28,4551000
7/11/2012,120.74,2911000
7/12/2012,122.64,3766900
7/13/2012,124.09,3028200
7/16/2012,127.15,7651900
7/17/2012,128.23,2691700
7/18/2012,127.82,2975900
7/19/2012,125.39,3458100
7/20/2012,125.75,2954200
7/23/2012,124.47,2847800
7/24/2012,122.65,3376000
7/25/2012,122.2,3826300
7/26/2012,126.77,5259000
7/27/2012,129.14,3484400
7/30/2012,130.84,3163200
7/31/2012,129.07,2240400
8/1/2012,127.46,2903000
8/2/2012,129.27,2778100
8/3/2012,130.98,3233600
8/6/2012,131.03,2306900
8/7/2012,130.4,3294800
8/8/2012,131.15,1990700
8/9/2012,128.51,3550900
8/10/2012,129.09,1496200
